保険負債の差異調整,保険負債の差異調整,会計ベース,再保険の グロスアップ,その他の 組替調整 （DAC等）,契約の境界 の差異,非経済前提 の更新,経済前提 の更新,保証とオプション のコスト,その他,経済価値ベース,チェック
,T14,[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]
保険負債,[1],A_Insurance_Liab,A1_Insurance_Liab,A2_Insurance_Liab,A3_Insurance_Liab,A4_Insurance_Liab,A5_Insurance_Liab,A6_Insurance_Liab,A7_Insurance_Liab,E_Insurance_Liab,
    生命保険契約,[2],A_Life_Ins_Liab,A1_Life_Ins_Liab,A2_Life_Ins_Liab,A3_Life_Ins_Liab,A4_Life_Ins_Liab,A5_Life_Ins_Liab,A6_Life_Ins_Liab,A7_Life_Ins_Liab,E_Life_Ins_Liab,
        死亡保険（無配当）,[3],A_Death_Benefit_Liab,A1_Death_Benefit_Liab,A2_Death_Benefit_Liab,A3_Death_Benefit_Liab,A4_Death_Benefit_Liab,A5_Death_Benefit_Liab,A6_Death_Benefit_Liab,A7_Death_Benefit_Liab,E_Death_Benefit_Liab,
        医療保険（無配当）,[4],A_Health_Liab,A1_Health_Liab,A2_Health_Liab,A3_Health_Liab,A4_Health_Liab,A5_Health_Liab,A6_Health_Liab,A7_Health_Liab,E_Health_Liab,
        その他の保障性保険（無配当）,[5],A_Other_Protection_Liab,A1_Other_Protection_Liab,A2_Other_Protection_Liab,A3_Other_Protection_Liab,A4_Other_Protection_Liab,A5_Other_Protection_Liab,A6_Other_Protection_Liab,A7_Other_Protection_Liab,E_Other_Protection_Liab,
        最低保証のない貯蓄性保険、生存保障保険（無配当）,[6],A_Non_Guaranteed_Ins_Liab,A1_Non_Guaranteed_Ins_Liab,A2_Non_Guaranteed_Ins_Liab,A3_Non_Guaranteed_Ins_Liab,A4_Non_Guaranteed_Ins_Liab,A5_Non_Guaranteed_Ins_Liab,A6_Non_Guaranteed_Ins_Liab,A7_Non_Guaranteed_Ins_Liab,E_Non_Guaranteed_Ins_Liab,
        年金保険,[7],A_Annuity_Liab,A1_Annuity_Liab,A2_Annuity_Liab,A3_Annuity_Liab,A4_Annuity_Liab,A5_Annuity_Liab,A6_Annuity_Liab,A7_Annuity_Liab,E_Annuity_Liab,
        有配当保険（年金保険を除く）,[8],A_Participating_Ins_Liab,A1_Participating_Ins_Liab,A2_Participating_Ins_Liab,A3_Participating_Ins_Liab,A4_Participating_Ins_Liab,A5_Participating_Ins_Liab,A6_Participating_Ins_Liab,A7_Participating_Ins_Liab,E_Participating_Ins_Liab,
        最低保証付変額保険、最低保証付変額年金保険,[9],A_Variable_Annuity_Liab,A1_Variable_Annuity_Liab,A2_Variable_Annuity_Liab,A3_Variable_Annuity_Liab,A4_Variable_Annuity_Liab,A5_Variable_Annuity_Liab,A6_Variable_Annuity_Liab,A7_Variable_Annuity_Liab,E_Variable_Annuity_Liab,
        その他の生命保険,[10],A_Other_Insurance_Liab,A1_Other_Insurance_Liab,A2_Other_Insurance_Liab,A3_Other_Insurance_Liab,A4_Other_Insurance_Liab,A5_Other_Insurance_Liab,A6_Other_Insurance_Liab,A7_Other_Insurance_Liab,E_Other_Insurance_Liab,
    損害保険契約,[11],A_NonLife_Ins_Liab,A1_NonLife_Ins_Liab,A2_NonLife_Ins_Liab,A3_NonLife_Ins_Liab,A4_NonLife_Ins_Liab,A5_NonLife_Ins_Liab,A6_NonLife_Ins_Liab,A7_NonLife_Ins_Liab,E_NonLife_Ins_Liab,
        未経過責任に係る保険負債,[12],A_Unearned_Premium_Liab,A1_Unearned_Premium_Liab,A2_Unearned_Premium_Liab,A3_Unearned_Premium_Liab,A4_Unearned_Premium_Liab,A5_Unearned_Premium_Liab,A6_Unearned_Premium_Liab,A7_Unearned_Premium_Liab,E_Unearned_Premium_Liab,
        既発生事故に係る保険負債,[13],A_Outstanding_Claims_Liab,A1_Outstanding_Claims_Liab,A2_Outstanding_Claims_Liab,A3_Outstanding_Claims_Liab,A4_Outstanding_Claims_Liab,A5_Outstanding_Claims_Liab,A6_Outstanding_Claims_Liab,A7_Outstanding_Claims_Liab,E_Outstanding_Claims_Liab,
再保険回収額,[14],A_Insurance_ReinsRec,A1_Insurance_ReinsRec,A2_Insurance_ReinsRec,A3_Insurance_ReinsRec,A4_Insurance_ReinsRec,A5_Insurance_ReinsRec,A6_Insurance_ReinsRec,A7_Insurance_ReinsRec,E_Insurance_ReinsRec,
    生命保険契約,[15],A_Life_Ins_ReinsRec,A1_Life_Ins_ReinsRec,A2_Life_Ins_ReinsRec,A3_Life_Ins_ReinsRec,A4_Life_Ins_ReinsRec,A5_Life_Ins_ReinsRec,A6_Life_Ins_ReinsRec,A7_Life_Ins_ReinsRec,E_Life_Ins_ReinsRec,
        死亡保険（無配当）,[16],A_Death_Benefit_ReinsRec,A1_Death_Benefit_ReinsRec,A2_Death_Benefit_ReinsRec,A3_Death_Benefit_ReinsRec,A4_Death_Benefit_ReinsRec,A5_Death_Benefit_ReinsRec,A6_Death_Benefit_ReinsRec,A7_Death_Benefit_ReinsRec,E_Death_Benefit_ReinsRec,
        医療保険（無配当）,[17],A_Health_ReinsRec,A1_Health_ReinsRec,A2_Health_ReinsRec,A3_Health_ReinsRec,A4_Health_ReinsRec,A5_Health_ReinsRec,A6_Health_ReinsRec,A7_Health_ReinsRec,E_Health_ReinsRec,
        その他の保障性保険（無配当）,[18],A_Other_Protection_ReinsRec,A1_Other_Protection_ReinsRec,A2_Other_Protection_ReinsRec,A3_Other_Protection_ReinsRec,A4_Other_Protection_ReinsRec,A5_Other_Protection_ReinsRec,A6_Other_Protection_ReinsRec,A7_Other_Protection_ReinsRec,E_Other_Protection_ReinsRec,
        最低保証のない貯蓄性保険、生存保障保険（無配当）,[19],A_Non_Guaranteed_Ins_ReinsRec,A1_Non_Guaranteed_Ins_ReinsRec,A2_Non_Guaranteed_Ins_ReinsRec,A3_Non_Guaranteed_Ins_ReinsRec,A4_Non_Guaranteed_Ins_ReinsRec,A5_Non_Guaranteed_Ins_ReinsRec,A6_Non_Guaranteed_Ins_ReinsRec,A7_Non_Guaranteed_Ins_ReinsRec,E_Non_Guaranteed_Ins_ReinsRec,
        年金保険,[20],A_Annuity_ReinsRec,A1_Annuity_ReinsRec,A2_Annuity_ReinsRec,A3_Annuity_ReinsRec,A4_Annuity_ReinsRec,A5_Annuity_ReinsRec,A6_Annuity_ReinsRec,A7_Annuity_ReinsRec,E_Annuity_ReinsRec,
        有配当保険（年金保険を除く）,[21],A_Participating_Ins_ReinsRec,A1_Participating_Ins_ReinsRec,A2_Participating_Ins_ReinsRec,A3_Participating_Ins_ReinsRec,A4_Participating_Ins_ReinsRec,A5_Participating_Ins_ReinsRec,A6_Participating_Ins_ReinsRec,A7_Participating_Ins_ReinsRec,E_Participating_Ins_ReinsRec,
        最低保証付変額保険、最低保証付変額年金保険,[22],A_Variable_Annuity_ReinsRec,A1_Variable_Annuity_ReinsRec,A2_Variable_Annuity_ReinsRec,A3_Variable_Annuity_ReinsRec,A4_Variable_Annuity_ReinsRec,A5_Variable_Annuity_ReinsRec,A6_Variable_Annuity_ReinsRec,A7_Variable_Annuity_ReinsRec,E_Variable_Annuity_ReinsRec,
        その他の生命保険,[23],A_Other_Insurance_ReinsRec,A1_Other_Insurance_ReinsRec,A2_Other_Insurance_ReinsRec,A3_Other_Insurance_ReinsRec,A4_Other_Insurance_ReinsRec,A5_Other_Insurance_ReinsRec,A6_Other_Insurance_ReinsRec,A7_Other_Insurance_ReinsRec,E_Other_Insurance_ReinsRec,
    損害保険契約,[24],A_NonLife_Ins_ReinsRec,A1_NonLife_Ins_ReinsRec,A2_NonLife_Ins_ReinsRec,A3_NonLife_Ins_ReinsRec,A4_NonLife_Ins_ReinsRec,A5_NonLife_Ins_ReinsRec,A6_NonLife_Ins_ReinsRec,A7_NonLife_Ins_ReinsRec,E_NonLife_Ins_ReinsRec,
        未経過責任に係る保険負債,[25],A_Unearned_Premium_ReinsRec,A1_Unearned_Premium_ReinsRec,A2_Unearned_Premium_ReinsRec,A3_Unearned_Premium_ReinsRec,A4_Unearned_Premium_ReinsRec,A5_Unearned_Premium_ReinsRec,A6_Unearned_Premium_ReinsRec,A7_Unearned_Premium_ReinsRec,E_Unearned_Premium_ReinsRec,
        既発生事故に係る保険負債,[26],A_Outstanding_Claims_ReinsRec,A1_Outstanding_Claims_ReinsRec,A2_Outstanding_Claims_ReinsRec,A3_Outstanding_Claims_ReinsRec,A4_Outstanding_Claims_ReinsRec,A5_Outstanding_Claims_ReinsRec,A6_Outstanding_Claims_ReinsRec,A7_Outstanding_Claims_ReinsRec,E_Outstanding_Claims_ReinsRec,
